"country","datstat_altpid","facility_complexity","PHAR_TYPE","pharmacy_available","pharmacy_management_arrangement","management_domain_count4"
"SLV","F308","Primary/ambulatory",1,1,"Ministry/Secretary",2
"SLV","F309","Primary/ambulatory",1,1,"Ministry/Secretary",2
"SLV","F310","Primary/ambulatory",1,1,"Ministry/Secretary",2
"SLV","F311","Primary/ambulatory",1,1,"Ministry/Secretary",2
"SLV","F312","Primary/ambulatory",1,1,"Ministry/Secretary",2
"SLV","F313","Primary/ambulatory",995,0,NA,2
"SLV","F314","Primary/ambulatory",995,0,NA,2
"SLV","F315","Primary/ambulatory",995,0,NA,2
"SLV","F316","Primary/ambulatory",995,0,NA,2
"SLV","F317","Primary/ambulatory",1,1,"Ministry/Secretary",2
"SLV","F36","Primary/ambulatory",1,1,"Ministry/Secretary",2
"SLV","F52","Primary/ambulatory",1,1,"Ministry/Secretary",2
"SLV","F55","Primary/ambulatory",995,0,NA,2
"SLV","F60","Higher-complexity",1,1,"Ministry/Secretary",3
