"management_domain_count4","predicted_probability","conf_low","conf_high"
0,0.565900494293778,0.386967206841775,0.718675668775578
1,0.684004028503484,0.572793298976381,0.769669308082974
2,0.782736472739396,0.6991128273623,0.838856066066588
3,0.857617552312753,0.761281150008482,0.912642977234436
4,0.91007794299626,0.795541799780926,0.9608795025471
