"term","odds_ratio","conf_low","conf_high","estimate_log_odds","std_error","z_value","p_value"
"(Intercept)",0.589765548956852,0.145580805872768,2.38921196136502,-0.528030195706004,0.713772338775773,-0.739773968562098,0.45943715683132
"management_domain_count4",1.80757684085407,1.23438639556963,2.64692971934787,0.591987186376246,0.194598564008994,3.0420943206389,0.0023493826438989
"countryGTM",2.59755123984151,0.488406669082181,13.8148655019018,0.954569170395913,0.852640842997606,1.11954427029318,0.262908015529264
"countryHND",2.28716971799218,0.486618235060016,10.7499985450715,0.827315122165749,0.78958698829884,1.04778211194715,0.294739005879711
"countryMEX",2.48072343842502,0.440093861818461,13.9833551700155,0.908550226680428,0.882304836319155,1.02974639748181,0.303129069128221
"countryNIC",2.92692978562998,0.560696664562393,15.2790599828058,1.07395401891159,0.843127165043114,1.27377466109359,0.202743287720331
"countryPAN",1.20573637930933,0.200543303227605,7.24930821918291,0.187090483456387,0.915212021843811,0.20442310523792,0.838022876027525
"countrySLV",2.35908309659507,0.474341975754549,11.7326176916723,0.858273025152777,0.818418252416349,1.04869731658447,0.294317449685087
"pharmacy_available",1.12047202391348,0.437490546675289,2.86967927858925,0.113750046444676,0.479821544623434,0.237067400827004,0.812604501915196
"facility_complexityHigher-complexity",0.632069131633261,0.193546666754732,2.06416051416632,-0.458756505321771,0.603816386943219,-0.759761601774665,0.447397099086288
